"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Гелиевна","F","Геліївно","Геліївни","Геліївні","Геліївни","Геліївною","Геліївні"
"Гелович","M","","","","","",""
"Гельмутдинович","M","Гельмутдіновичу","Гельмутдіновича","Гельмутдіновичу","Гельмутдіновича","Гельмутдіновичем","Гельмутдіновичу"
"Гелівна","F","","","","","",""
"Гелійович","M","","","","","",""
"Геліївна","F","","","","","",""
"Гениевич","M","Генійовичу","Генійовича","Генійовичу","Генійовича","Генійовичем","Генійовичу"
"Гениевна","F","Геніївно","Геніївни","Геніївні","Геніївни","Геніївною","Геніївні"
"Гениятулович","M","Геніятуловичу","Геніятуловича","Геніятуловичу","Геніятуловича","Геніятуловичем","Геніятуловичу"
"Геннадиевич","M","Геннадійовичу","Геннадійовича","Геннадійовичу","Геннадійовича","Геннадійовичем","Геннадійовичу"
"Геннадьевна","F","Геннадіївно","Геннадіївни","Геннадіївні","Геннадіївни","Геннадіївною","Геннадіївні"
"Геннадійович","M","","","","","",""
"Геннадіївна","F","","","","","",""
"Генович","M","Геновичу","Геновича","Геновичу","Геновича","Геновичем","Геновичу"
"Генрикович","M","Генріковичу","Генріковича","Генріковичу","Генріковича","Генріковичем","Генріковичу"
"Генриковна","F","Генриківно","Генриківни","Генриківні","Генриківни","Генриківною","Генриківні"
"Генрихович","M","Генріховичу","Генріховича","Генріховичу","Генріховича","Генріховичем","Генріховичу"
"Генриховна","F","Генріхівно","Генріхівни","Генріхівні","Генріхівни","Генріхівною","Генріхівні"
"Генріхович","M","","","","","",""
"Генріхівна","F","","","","","",""
"Генійович","M","","","","","",""
"Геніївна","F","","","","","",""
"Георгиевич","M","Георгійовичу","Георгійовича","Георгійовичу","Георгійовича","Георгійовичем","Георгійовичу"
"Георгиевна","F","Георгіївно","Георгіївни","Георгіївні","Георгіївни","Георгіївною","Георгіївні"
"Георгович","M","","","","","",""
"Георгівна","F","","","","","",""
"Георгійович","M","","","","","",""
"Георгіївна","F","","","","","",""
"Геофиловна","F","Геофілівно","Геофілівни","Геофілівні","Геофілівни","Геофілівною","Геофілівні"
"Геральдовна","F","Геральдівно","Геральдівни","Геральдівні","Геральдівни","Геральдівною","Геральдівні"
"Герардович","M","Герардовичу","Герардовича","Герардовичу","Герардовича","Герардовичем","Герардовичу"
"Герардівна","F","","","","","",""
"Герасимович","M","Герасимовичу","Герасимовича","Герасимовичу","Герасимовича","Герасимовичем","Герасимовичу"
"Герасимовна","F","Герасимівно","Герасимівни","Герасимівні","Герасимівни","Герасимівною","Герасимівні"
"Герасимівна","F","","","","","",""
"Гербертович","M","Гербертовичу","Гербертовича","Гербертовичу","Гербертовича","Гербертовичем","Гербертовичу"
"Гервасиевич","M","Гервасійовичу","Гервасійовича","Гервасійовичу","Гервасійовича","Гервасійовичем","Гервасійовичу"
"Гервасиевна","F","Гервасіївно","Гервасіївни","Гервасіївні","Гервасіївни","Гервасіївною","Гервасіївні"
"Гервасійович","M","","","","","",""
"Гервасіївна","F","","","","","",""
"Гердович","M","","","","","",""
"Гердівна","F","","","","","",""
"Герегинович","M","Герегіновичу","Герегіновича","Герегіновичу","Герегіновича","Герегіновичем","Герегіновичу"
"Геркулесович","M","","","","","",""
"Геркулесівна","F","","","","","",""
"Германович","M","Германовичу","Германовича","Германовичу","Германовича","Германовичем","Германовичу"
"Германовна","F","Германівно","Германівни","Германівні","Германівни","Германівною","Германівні"
"Германівна","F","","","","","",""
"Гермогенович","M","Гермогеновичу","Гермогеновича","Гермогеновичу","Гермогеновича","Гермогеновичем","Гермогеновичу"
"Гермогеновна","F","Гермогенівно","Гермогенівни","Гермогенівні","Гермогенівни","Гермогенівною","Гермогенівні"
"Гермогенівна","F","","","","","",""
"Гермонович","M","Гермоновичу","Гермоновича","Гермоновичу","Гермоновича","Гермоновичем","Гермоновичу"
"Геровна","F","Герівно","Герівни","Герівні","Герівну","Герівною","Герівні"
"Герольдович","M","Герольдовичу","Герольдовича","Герольдовичу","Герольдовича","Герольдовичем","Герольдовичу"
"Герониевич","M","Геронійовичу","Геронійовича","Геронійовичу","Геронійовича","Геронійовичем","Геронійовичу"
"Геронимовна","F","Геронимівно","Геронимівни","Геронимівні","Геронимівни","Геронимівною","Геронимівні"
"Геронтиевич","M","Геронтійовичу","Геронтійовича","Геронтійовичу","Геронтійовича","Геронтійовичем","Геронтійовичу"
"Геронтовна","F","Геронтівно","Геронтівни","Геронтівні","Геронтівни","Геронтівною","Геронтівні"
"Геронтійович","M","","","","","",""
"Геронтіївна","F","","","","","",""
"Герсанович","M","Герсановичу","Герсановича","Герсановичу","Герсановича","Герсановичем","Герсановичу"
"Гертрудович","M","Гертрудовичу","Гертрудовича","Гертрудовичу","Гертрудовича","Гертрудовичем","Гертрудовичу"
"Гертрудовна","F","Гертрудівно","Гертрудівни","Гертрудівні","Гертрудівни","Гертрудівною","Гертрудівні"
"Гертрудівна","F","","","","","",""
"Герхардович","M","","","","","",""
"Герхардівна","F","","","","","",""
"Герцевич","M","Герцовичу","Герцовича","Герцовичу","Герцовича","Герцовичем","Герцовичу"
"Герцевна","F","Герцівно","Герцівни","Герцівні","Герцівни","Герцівною","Герцівні"
"Гершевич","M","Гершовичу","Гершовича","Гершовичу","Гершовича","Гершовичем","Гершовичу"
"Гершевна","F","Гершівно","Гершівни","Гершівні","Гершівни","Гершівною","Гершівні"
"Гетовович","M","","","","","",""
"Гетовівна","F","","","","","",""
"Гиазовна","F","Гіазівно","Гіазівни","Гіазівні","Гіазівни","Гіазівною","Гіазівні"
"Гивиевич","M","Гівійовичу","Гівійовича","Гівійовичу","Гівійовича","Гівійовичем","Гівійовичу"
"Гивиевна","F","Гівіївно","Гівіївни","Гівіївні","Гівіївни","Гівіївною","Гівіївні"
"Гиевна","F","Гіївно","Гіївни","Гіївні","Гіївни","Гіївною","Гіївні"
"Гизович","M","Гізовичу","Гізовича","Гізовичу","Гізовича","Гізовичем","Гізовичу"
"Гиланиевич","M","Гіланійовичу","Гіланійовича","Гіланійовичу","Гіланійовича","Гіланійовичем","Гіланійовичу"
"Гилериевич","M","Гілерійовичу","Гілерійовича","Гілерійовичу","Гілерійовича","Гілерійовичем","Гілерійовичу"
"Гильфанович","M","Гільфановичу","Гільфановича","Гільфановичу","Гільфановича","Гільфановичем","Гільфановичу"
"Гиляриевич","M","Гілярійовичу","Гілярійовича","Гілярійовичу","Гілярійовича","Гілярійовичем","Гілярійовичу"
"Гиляровна","F","Гілярівно","Гілярівни","Гілярівні","Гілярівни","Гілярівною","Гілярівні"
"Гисоновна","F","Гісонівно","Гісонівни","Гісонівні","Гісонівни","Гісонівною","Гісонівні"
"Гиульевна","F","Гіульївно","Гіульївни","Гіульївні","Гіульївни","Гіульївною","Гіульївні"
"Гиязович","M","Гіязовичу","Гіязовича","Гіязовичу","Гіязовича","Гіязовичем","Гіязовичу"
"Гиясович","M","Гіясовичу","Гіясовича","Гіясовичу","Гіясовича","Гіясовичем","Гіясовичу"
"Глебович","M","Глібовичу","Глібовича","Глібовичу","Глібовича","Глібовичем","Глібовичу"
"Глебовна","F","Глібівно","Глібівни","Глібівні","Глібівни","Глібівною","Глібівні"
"Глифтериевич","M","Гліфтерійовичу","Гліфтерійовича","Гліфтерійовичу","Гліфтерійовича","Гліфтерійовичем","Гліфтерійовичу"
"Глібович","M","","","","","",""
"Глібівна","F","","","","","",""
"Гнатович","M","","","","","",""
"Гнатівна","F","","","","","",""
"Гобанович","M","","","","","",""
"Гобанівна","F","","","","","",""
"Гогиевич","M","Гогійовичу","Гогійовича","Гогійовичу","Гогійовича","Гогійовичем","Гогійовичу"
"Гогинович","M","Гогіновичу","Гогіновича","Гогіновичу","Гогіновича","Гогіновичем","Гогіновичу"
"Гогович","M","","","","","",""
"Гогівна","F","","","","","",""
"Годерзиевна","F","Годерзіївно","Годерзіївни","Годерзіївні","Годерзіївни","Годерзіївною","Годерзіївні"
"Годовна","F","Годівно","Годівни","Годівні","Годівни","Годівною","Годівні"
"Годольфович","M","","","","","",""
"Годольфівна","F","","","","","",""
"Гордеевич","M","Гордійовичу","Гордійовича","Гордійовичу","Гордійовича","Гордійовичем","Гордійовичу"
"Гордеевна","F","Гордіївно","Гордіївни","Гордіївні","Гордіївни","Гордіївною","Гордіївні"
"Гордонович","M","","","","","",""
"Гордонівна","F","","","","","",""
"Гордійович","M","","","","","",""
"Гордіївна","F","","","","","",""
"Гориславович","M","Гориславовичу","Гориславовича","Гориславовичу","Гориславовича","Гориславовичем","Гориславовичу"
"Гориславовна","F","Гориславівно","Гориславівни","Гориславівні","Гориславівни","Гориславівною","Гориславівні"
"Гориславівна","F","","","","","",""
"Горович","M","Горовичу","Горовича","Горовичу","Горовича","Горовичем","Горовичу"
"Горхмазович","M","","","","","",""
"Горхмазівна","F","","","","","",""
"Господінович","M","","","","","",""
"Господінівна","F","","","","","",""
"Готлибович","M","Готлібовичу","Готлібовича","Готлібовичу","Готлібовича","Готлібовичем","Готлібовичу"
"Готлибовна","F","Готлібівно","Готлібівни","Готлібівні","Готлібівни","Готлібівною","Готлібівні"
"Готфартович","M","","","","","",""
"Готфартівна","F","","","","","",""
"Гофіштандович","M","","","","","",""
"Гофіштандівна","F","","","","","",""
"Гочевич","M","Гочовичу","Гочовича","Гочовичу","Гочовича","Гочовичем","Гочовичу"
"Гочназарович","M","","","","","",""
"Гочназарівна","F","","","","","",""
"Гочович","M","","","","","",""
"Гочівна","F","","","","","",""
"Грайрович","M","","","","","",""
"Грайрівна","F","","","","","",""
"Грантикович","M","Грантиковичу","Грантиковича","Грантиковичу","Грантиковича","Грантиковичем","Грантиковичу"
"Грантович","M","Грантовичу","Грантовича","Грантовичу","Грантовича","Грантовичем","Грантовичу"
"Грантовна","F","Грантівно","Грантівни","Грантівні","Грантівни","Грантівною","Грантівні"
"Грантівна","F","","","","","",""
"Грациянович","M","Граціяновичу","Граціяновича","Граціяновичу","Граціяновича","Граціяновичем","Граціяновичу"
"Граціанович","M","","","","","",""
"Граціанівна","F","","","","","",""
"Грачикович","M","Грачиковичу","Грачиковича","Грачиковичу","Грачиковича","Грачиковичем","Грачиковичу"
"Грачиковна","F","Грачиківно","Грачиківни","Грачиківні","Грачиківни","Грачиківною","Грачиківні"
"Грачиківна","F","","","","","",""
"Грегорійович","M","","","","","",""
"Грегоріївна","F","","","","","",""
"Гремикович","M","Греміковичу","Греміковича","Греміковичу","Греміковича","Греміковичем","Греміковичу"
"Григорьевич","M","Григоровичу","Григоровича","Григоровичу","Григоровича","Григоровичем","Григоровичу"
"Григорьевна","F","Григорівно","Григорівни","Григорівні","Григорівни","Григорівною","Григорівні"
"Григорійович","M","","","","","",""
"Григоріївна","F","","","","","",""
"Грифонович","M","Грифоновичу","Грифоновича","Грифоновичу","Грифоновича","Грифоновичем","Грифоновичу"
"Губарович","M","","","","","",""
"Губарівна","F","","","","","",""
"Губертович","M","Губертовичу","Губертовича","Губертовичу","Губертовича","Губертовичем","Губертовичу"
"Губертовна","F","Губертівно","Губертівни","Губертівні","Губертівни","Губертівною","Губертівні"
"Гугарович","M","Гугаровичу","Гугаровича","Гугаровичу","Гугаровича","Гугаровичем","Гугаровичу"
"Гугенович","M","Гугеновичу","Гугеновича","Гугеновичу","Гугеновича","Гугеновичем","Гугеновичу"
"Гудаевич","M","Гудайовичу","Гудайовича","Гудайовичу","Гудайовича","Гудайовичем","Гудайовичу"
"Гудуйович","M","","","","","",""
"Гудуївна","F","","","","","",""
"Гукасович","M","Гукасовичу","Гукасовича","Гукасовичу","Гукасовича","Гукасовичем","Гукасовичу"
"Гукасовна","F","Гукасівно","Гукасівни","Гукасівні","Гукасівни","Гукасівною","Гукасівні"
"Гукасівна","F","","","","","",""
"Гуливерович","M","Гуліверовичу","Гуліверовича","Гуліверовичу","Гуліверовича","Гуліверовичем","Гуліверовичу"
"Гульминович","M","Гульміновичу","Гульміновича","Гульміновичу","Гульміновича","Гульміновичем","Гульміновичу"
"Гумарович","M","Гумаровичу","Гумаровича","Гумаровичу","Гумаровича","Гумаровичем","Гумаровичу"
"Гумарівна","F","","","","","",""
"Гумасович","M","","","","","",""
"Гумасівна","F","","","","","",""
"Гумеровна","F","Гумерівно","Гумерівни","Гумерівні","Гумерівни","Гумерівною","Гумерівні"
"Гунарович","M","Гунаровичу","Гунаровича","Гунаровичу","Гунаровича","Гунаровичем","Гунаровичу"
"Гуннаровна","F","Гуннарівно","Гуннарівни","Гуннарівні","Гуннарівни","Гуннарівною","Гуннарівні"
"Гуптович","M","","","","","",""
"Гуптівна","F","","","","","",""
"Гурамович","M","Гурамовичу","Гурамовича","Гурамовичу","Гурамовича","Гурамовичем","Гурамовичу"
"Гурамовна","F","Гурамівно","Гурамівни","Гурамівні","Гурамівни","Гурамівною","Гурамівні"
"Гурамівна","F","","","","","",""
"Гуранович","M","Гурановичу","Гурановича","Гурановичу","Гурановича","Гурановичем","Гурановичу"
"Гурановна","F","Гуранівно","Гуранівни","Гуранівні","Гуранівни","Гуранівною","Гуранівні"
"Гуранівна","F","","","","","",""
"Гурбанович","M","","","","","",""
"Гурбанівна","F","","","","","",""
"Гургенович","M","Гургеновичу","Гургеновича","Гургеновичу","Гургеновича","Гургеновичем","Гургеновичу"
"Гургеновна","F","Гургенівно","Гургенівни","Гургенівні","Гургенівни","Гургенівною","Гургенівні"
"Гургенівна","F","","","","","",""
"Гуриевич","M","Гурійовичу","Гурійовича","Гурійовичу","Гурійовича","Гурійовичем","Гурійовичу"
"Гуриевна","F","Гуріївно","Гуріївни","Гуріївні","Гуріївни","Гуріївною","Гуріївні"
"Гурійович","M","","","","","",""
"Гуріївна","F","","","","","",""
"Гусейнович","M","Гусейновичу","Гусейновича","Гусейновичу","Гусейновича","Гусейновичем","Гусейновичу"
"Гусейновна","F","Гусейнівно","Гусейнівни","Гусейнівні","Гусейнівни","Гусейнівною","Гусейнівні"
"Гусейнівна","F","","","","","",""
"Гусманович","M","Гусмановичу","Гусмановича","Гусмановичу","Гусмановича","Гусмановичем","Гусмановичу"
"Гусмановна","F","Гусманівно","Гусманівни","Гусманівні","Гусманівни","Гусманівною","Гусманівні"
"Густавович","M","Густавовичу","Густавовича","Густавовичу","Густавовича","Густавовичем","Густавовичу"
"Густавовна","F","Густавівно","Густавівни","Густавівні","Густавівни","Густавівною","Густавівні"
"Густавівна","F","","","","","",""
"Гюлапович","M","Гюлаповичу","Гюлаповича","Гюлаповичу","Гюлаповича","Гюлаповичем","Гюлаповичу"
"Гюлаповна","F","Гюлапівно","Гюлапівни","Гюлапівні","Гюлапівни","Гюлапівною","Гюлапівні"
"Гюлапівна","F","","","","","",""
"Гюлахмед Оглы","M","Гюлахмед Огли","Гюлахмед Огли","Гюлахмед Огли","Гюлахмед Огли","Гюлахмед Огли","Гюлахмед Огли"
"Гюльогланович","M","Гюльоглановичу","Гюльоглановича","Гюльоглановичу","Гюльоглановича","Гюльоглановичем","Гюльоглановичу"
"Гюлядинович","M","Гюлядиновичу","Гюлядиновича","Гюлядиновичу","Гюлядиновича","Гюлядиновичем","Гюлядиновичу"
"Гюлядінович","M","","","","","",""
"Гюлядінівна","F","","","","","",""
"Гюнерович","M","","","","","",""
"Гюнерівна","F","","","","","",""
"Гівівна","F","","","","","",""
"Гівійович","M","","","","","",""
"Гігельдович","M","","","","","",""
"Гігельдівна","F","","","","","",""
"Гідаятович","M","","","","","",""
"Гідаятівна","F","","","","","",""
"Гілярівна","F","","","","","",""
"Гілярієвич","M","","","","","",""
"Гінятович","M","","","","","",""
"Гінятівна","F","","","","","",""
"Гієвич","M","","","","","",""
"Гіївна","F","","","","","",""
"Давидович","M","Давидовичу","Давидовича","Давидовичу","Давидовича","Давидовичем","Давидовичу"
"Давидовна","F","Давидівно","Давидівни","Давидівні","Давидівни","Давидівною","Давидівні"
"Давидівна","F","","","","","",""
"Давлетович","M","Давлетовичу","Давлетовича","Давлетовичу","Давлетовича","Давлетовичем","Давлетовичу"
"Давлятярович","M","Давлятяровичу","Давлятяровича","Давлятяровичу","Давлятяровича","Давлятяровичем","Давлятяровичу"
"Давітович","M","","","","","",""
"Давітівна","F","","","","","",""
"Дагласович","M","","","","","",""
"Дагласівна","F","","","","","",""
"Дагмарович","M","","","","","",""
"Дагмарівна","F","","","","","",""
"Дадаш Оглы","M","Дадаш Огли","Дадаш Огли","Дадаш Огли","Дадаш Огли","Дадаш Огли","Дадаш Огли"
"Даирович","M","Даіровичу","Даіровича","Даіровичу","Даіровича","Даіровичем","Даіровичу"
"Далгатович","M","Далгатовичу","Далгатовича","Далгатовичу","Далгатовича","Далгатовичем","Далгатовичу"
"Далгатовна","F","Далгатівно","Далгатівни","Далгатівні","Далгатівни","Далгатівною","Далгатівні"
"Далгатівна","F","","","","","",""
"Дальнотовна","F","Дальнотівно","Дальнотівни","Дальнотівні","Дальнотівни","Дальнотівною","Дальнотівні"
"Дальтонович","M","Дальтоновичу","Дальтоновича","Дальтоновичу","Дальтоновича","Дальтоновичем","Дальтоновичу"
"Дальтонійович","M","","","","","",""
"Дальтоніївна","F","","","","","",""
"Дамианович","M","Даміановичу","Даміановича","Даміановичу","Даміановича","Даміановичем","Даміановичу"
"Дамирович","M","Даміровичу","Даміровича","Даміровичу","Даміровича","Даміровичем","Даміровичу"
"Дамірович","M","","","","","",""
"Дамірівна","F","","","","","",""
"Данатович","M","Данатовичу","","","","",""
"Данатівна","F","","","","","",""
"Данилович","M","Даниловичу","Даниловича","Даниловичу","Даниловича","Даниловичем","Даниловичу"
"Даниловна","F","Данилівно","Данилівни","Данилівні","Данилівни","Данилівною","Данилівні"
"Данилівна","F","","","","","",""
"Даниэловна","F","Даніелівно","Даніелівни","Даніелівні","Даніелівни","Даніелівною","Даніелівні"
"Данияловна","F","Даніялівно","Даніялівни","Даніялівні","Даніялівни","Даніялівною","Даніялівні"
"Данкович","M","","","","","",""
"Данківна","F","","","","","",""
"Данович","M","","","","","",""
"Данівна","F","","","","","",""
"Даніельович","M","","","","","",""
"Даніелівна","F","","","","","",""
"Даніїлович","M","","","","","",""
"Даніїлівна","F","","","","","",""
"Дариевич","M","Дарійовичу","Дарійовича","Дарійовичу","Дарійовича","Дарійовичем","Дарійовичу"
"Дариевна","F","Даріївно","Даріївни","Даріївні","Даріївни","Даріївною","Даріївні"
"Даркович","M","","","","","",""
"Дарківна","F","","","","","",""
"Дарюсович","M","","","","","",""
"Дарюсівна","F","","","","","",""
"Дарійович","M","","","","","",""
"Даріївна","F","","","","","",""
"Дасиевич","M","Дасійовичу","Дасійовича","Дасійовичу","Дасійовича","Дасійовичем","Дасійовичу"
"Дасиевна","F","Дасіївно","Дасіївни","Дасіївні","Дасіївни","Дасіївною","Дасіївні"
"Дасійович","M","","","","","",""
"Дасіївна","F","","","","","",""
"Датикович","M","Датиковичу","Датиковича","Датиковичу","Датиковича","Датиковичем","Датиковичу"
"Датович","M","","","","","",""
"Датовна","F","","","","","",""
"Даудович","M","Даудовичу","Даудовича","Даудовичу","Даудовича","Даудовичем","Даудовичу"
"Даулиевич","M","Даулійовичу","Даулійовича","Даулійовичу","Даулійовича","Даулійовичем","Даулійовичу"
"Даулиевна","F","Дауліївно","Дауліївни","Дауліївні","Дауліївни","Дауліївною","Дауліївні"
"Даулович","M","","","","","",""
"Даулівна","F","","","","","",""
"Даурович","M","Дауровичу","Дауровича","Дауровичу","Дауровича","Дауровичем","Дауровичу"
"Даутович","M","","","","","",""
"Даутівна","F","","","","","",""
"Двердиевна","F","Двердіївно","Двердіївни","Двердіївні","Двердіївни","Двердіївною","Двердіївні"
"Деамідович","M","","","","","",""
"Деамідівна","F","","","","","",""
"Девзєвович","M","","","","","",""
"Девзєвівна","F","","","","","",""
"Девришевич","M","Девришовичу","Девришовича","Девришовичу","Девришовича","Девришовичем","Девришовичу"
"Девідович","M","","","","","",""
"Девідівна","F","","","","","",""
"Дегамович","M","Дегамовичу","Дегамовича","Дегамовичу","Дегамовича","Дегамовичем","Дегамовичу"
"Дезидерович","M","Дезидеровичу","Дезидеровича","Дезидеровичу","Дезидеровича","Дезидеровичем","Дезидеровичу"
"Дезидеровна","F","Дезідеріївно","Дезідеріївни","Дезідеріївні","Дезідеріївни","Дезідеріївною","Дезідеріївні"
"Демʼянович","M","","","","","",""
"Демʼянівна","F","","","","","",""
"Дементиевна","F","Дементіївно","Дементіївни","Дементіївні","Дементіївни","Дементіївною","Дементіївні"
"Дементьевич","M","Дементійовичу","Дементійовича","Дементійовичу","Дементійовича","Дементійовичем","Дементійовичу"
"Дементійович","M","","","","","",""
"Дементіївна","F","","","","","",""
"Демидович","M","Демидовичу","Демидовича","Демидовичу","Демидовича","Демидовичем","Демидовичу"
"Демидовна","F","Демидівно","Демидівни","Демидівні","Демидівни","Демидівною","Демидівні"
"Демидівна","F","","","","","",""
"Демуриевна","F","Демуріївно","Демуріївни","Демуріївні","Демуріївни","Демуріївною","Демуріївні"
"Демурович","M","Демуровичу","Демуровича","Демуровичу","Демуровича","Демуровичем","Демуровичу"
"Демьянович","M","Демʼяновичу","Демʼяновича","Демʼяновичу","Демʼяновича","Демʼяновичем","Демʼяновичу"
"Демьяновна","F","Демʼянівно","Демʼянівни","Демʼянівні","Демʼянівни","Демʼянівною","Демʼянівні"
"Денисович","M","Денисовичу","Денисовича","Денисовичу","Денисовича","Денисовичем","Денисовичу"
"Денисовна","F","Денисівно","Денисівни","Денисівні","Денисівни","Денисівною","Денисівні"
"Денисівна","F","","","","","",""
"Денович","M","Деновичу","Деновича","Деновичу","Деновича","Деновичем","Деновичу"
"Денівна","F","","","","","",""
"Денійович","M","","","","","",""
"Деніївна","F","","","","","",""
"Деомидович","M","Деомидовичу","Деомидовича","Деомидовичу","Деомидовича","Деомидовичем","Деомидовичу"
"Деомидовна","F","Деомидівно","Деомидівни","Деомидівні","Деомидівни","Деомидівною","Деомидівні"
"Деонизиевич","M","Деонизійовичу","Деонизійовича","Деонизійовичу","Деонизійовича","Деонизійовичем","Деонизійовичу"
"Деонизиевна","F","Деонизіївно","Деонизіївни","Деонизіївні","Деонизіївни","Деонизіївною","Деонизіївні"
"Деонізійович","M","","","","","",""
"Деонізіївна","F","","","","","",""
"Дербишевна","F","Дербишівно","Дербишівни","Дербишівні","Дербишівни","Дербишівною","Дербишівні"
"Дердевич","M","Дердовичу","Дердовича","Дердовичу","Дердовича","Дердовичем","Дердовичу"
"Дерекович","M","","","","","",""
"Дереківна","F","","","","","",""
"Дерзибанович","M","Дерзібановичу","Дерзібановича","Дерзібановичу","Дерзібановича","Дерзібановичем","Дерзібановичу"
"Джабарович","M","Джабаровичу","Джабаровича","Джабаровичу","Джабаровича","Джабаровичем","Джабаровичу"
"Джаббарович","M","","","","","",""
"Джаббарівна","F","","","","","",""
"Джабраилович","M","Джабраїловичу","Джабраїловича","Джабраїловичу","Джабраїловича","Джабраїловичем","Джабраїловичу"
"Джабраиловна","F","Джабраілівно","Джабраілівни","Джабраілівні","Джабраілівни","Джабраілівною","Джабраілівні"
"Джабраілович","M","","","","","",""
"Джабраілівна","F","","","","","",""
"Джабійович","M","","","","","",""
"Джабіївна","F","","","","","",""
"Джавадович","M","Джавадовичу","Джавадовича","Джавадовичу","Джавадовича","Джавадовичем","Джавадовичу"
"Джавдетович","M","Джавдетовичу","Джавдетовича","Джавдетовичу","Джавдетовича","Джавдетовичем","Джавдетовичу"
"Джавідович","M","","","","","",""
"Джавідівна","F","","","","","",""
"Джалилович","M","Джаліловичу","Джаліловича","Джаліловичу","Джаліловича","Джаліловичем","Джаліловичу"
"Джалиловна","F","Джалілівно","Джалілівни","Джалілівні","Джалілівни","Джалілівною","Джалілівні"
"Джалілович","M","","","","","",""
"Джалілівна","F","","","","","",""
"Джамаглаевич","M","Джамаглаєвичу","Джамаглаєвича","Джамаглаєвичу","Джамаглаєвича","Джамаглаєвичем","Джамаглаєвичу"
"Джамалович","M","","","","","",""
"Джамалівна","F","","","","","",""
"Джамбулович","M","","","","","",""
"Джамбулівна","F","","","","","",""
"Джамільович","M","","","","","",""
"Джамілівна","F","","","","","",""
"Джангиевич","M","Джангійовичу","Джангійовича","Джангійовичу","Джангійовича","Джангійовичем","Джангійовичу"
"Джанибекович","M","Джанибековичу","Джанибековича","Джанибековичу","Джанибековича","Джанибековичем","Джанибековичу"
"Джаниловна","F","Джанилівно","Джанилівни","Джанилівні","Джанилівни","Джанилівною","Джанилівні"
"Джанович","M","Джановичу","Джановича","Джановичу","Джановича","Джановичем","Джановичу"
"Джанівна","F","","","","","",""
"Джаркинбекович","M","","","","","",""
"Джаркинбеківна","F","","","","","",""
"Джафарович","M","Джафаровичу","Джафаровича","Джафаровичу","Джафаровича","Джафаровичем","Джафаровичу"
"Джафарівна","F","","","","","",""
"Джаферович","M","Джаферовичу","Джаферовича","Джаферовичу","Джаферовича","Джаферовичем","Джаферовичу"
"Джаферовна","F","Джаферівно","Джаферівни","Джаферівні","Джаферівну","Джаферівною","Джаферівні"
"Джебарович","M","Джебаровичу","Джебаровича","Джебаровичу","Джебаровича","Джебаровичем","Джебаровичу"
"Джевдетович","M","","","","","",""
"Джевдетівна","F","","","","","",""
"Джедович","M","","","","","",""
"Джедівна","F","","","","","",""
"Джеймсович","M","","","","","",""
"Джеймсівна","F","","","","","",""
"Джейсонович","M","","","","","",""
"Джейсонівна","F","","","","","",""
"Джеляловна","F","Джелялівно","Джелялівни","Джелялівні","Джелялівни","Джелялівною","Джелялівні"
"Джемалович","M","Джемаловичу","Джемаловича","Джемаловичу","Джемаловича","Джемаловичем","Джемаловичу"
"Джемаловна","F","Джемалівно","Джемалівни","Джемалівні","Джемалівни","Джемалівною","Джемалівні"
"Джемальдинович","M","Джемальдиновичу","Джемальдиновича","Джемальдиновичу","Джемальдиновича","Джемальдиновичем","Джемальдиновичу"
"Джемальдиновна","F","Джемальдинівно","Джемальдинівни","Джемальдинівні","Джемальдинівни","Джемальдинівною","Джемальдинівні"
"Джемальдінович","M","","","","","",""
"Джемальдінівна","F","","","","","",""
"Джемалівна","F","","","","","",""
"Джемилиевич","M","Джемілійовичу","Джемілійовича","Джемілійовичу","Джемілійовича","Джемілійовичем","Джемілійовича"
"Дженарович","M","","","","","",""
"Дженарівна","F","","","","","",""
"Джепарович","M","Джепаровичу","Джепаровича","Джепаровичу","Джепаровича","Джепаровичем","Джепаровичу"
"Джерійович","M","","","","","",""
"Джеріївна","F","","","","","",""
"Джеферович","M","","","","","",""
"Джеферівна","F","","","","","",""
"Дживанович","M","","","","","",""
"Дживановна","F","Дживанівно","Дживанівни","Дживанівні","Дживанівни","Дживанівною","Дживанівні"
"Дживанівна","F","","","","","",""
"Джиганшиевна","F","Джиганшиївно","Джиганшиївни","Джиганшиївні","Джиганшиївни","Джиганшиївною","Джиганшиївні"
"Джинаровна","F","Джинарівно","Джинарівни","Джинарівні","Джинарівни","Джинарівною","Джинарівні"
"Джихадович","M","","","","","",""
"Джихадівна","F","","","","","",""
"Джовадович","M","","","","","",""
"Джовадівна","F","","","","","",""
"Джозефович","M","","","","","",""
"Джозефівна","F","","","","","",""
"Джонатанович","M","","","","","",""
"Джонатанівна","F","","","","","",""
"Джонович","M","Джоновичу","Джоновича","Джоновичу","Джоновича","Джоновичем","Джоновичу"
"Джоновна","F","Джонівно","Джонівни","Джонівні","Джонівни","Джонівною","Джонівні"
"Джонсович","M","Джонсовичу","Джонсовича","Джонсовичу","Джонсовича","Джонсовичем","Джонсовичу"
"Джонівна","F","","","","","",""
"Джорджевич","M","","","","","",""
"Джорджевна","F","Джорджівно","Джорджівни","Джорджівні","Джорджівни","Джорджівною","Джорджівні"
"Джорджович","M","Джорджовичу","Джорджовича","Джорджовичу","Джорджовича","Джорджовичем","Джорджовичу"
