"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Виктория","F","Виктории","Виктории","Виктории","Викторией","Виктории"
"Викул","M","","","","",""
"Вил","M","Вила","Вилу","Вила","Вилом","Виле"
"Вилада","F","Вилады","Виладе","Вилады","Виладой","Виладе"
"Вилалий","M","","","","",""
"Вилаят","M","Вилаята","Вилаятук","Вилаята","Вилаятом","Вилаяте"
"Вилен","M","Вилена","Вилену","Вилена","Виленом","Вилене"
"Вилена","F","Вилены","Вилене","Вилены","Виленой","Вилене"
"Виленин","M","","","","",""
"Вилентий","M","Вилентия","Вилентию","Вилентия","Вилентием","Вилентие"
"Вилес","M","","","","",""
"Вилеулен","M","","","","",""
"Вили","M","","","","",""
"Вилианин","M","","","","",""
"Вилий","M","Вилия","Вилию","Вилия","Вилием","Вилие"
"Вилиор","M","","","","",""
"Вилиора","F","Вилиоры","Вилиоре","Вилиоры","Вилиорой","Вилиоре"
"Вилиорий","M","","","","",""
"Вилис","M","","","","",""
"Вилиус","M","","","","",""
"Вилия","F","Вилии","Вилии","Вилии","Вилией","Вилие"
"Вилли","M","","","","",""
"Виллина","F","Виллины","Виллине","Виллины","Виллиной","Виллине"
"Вило","M","","","","",""
"Вилора","F","Вилоры","Вилоре","Вилоры","Вилорой","Вилоре"
"Вилорий","M","Вилория","Вилорию","Вилория","Вилорием","Вилории"
"Виль-Феликс","M","Виль-Феликса","Виль-Феликсу","Виль-Феликса","Виль-Феликсом","Виль-Феликсе"
"Вильгельм","M","Вильгельма","Вильгельму","Вильгельма","Вильгельмом","Вильгельме"
"Вильдан","M","","","","",""
"Вильма","F","Вильмы","Вильме","Вильмы","Вильмой","Вильме"
"Вильмантас","M","Вильмантаса","Вильмантасу","Вильмантаса","Вильмантасом","Вильмантасе"
"Вильмор","M","Вильмора","Вильмору","Вильмора","Вильмором","Вильморе"
"Вильмош","M","Вильмоша","Вильмошу","Вильмоша","Вильмошем","Вильмоше"
"Вильям","M","Вильяма","Вильяму","Вильяма","Вильямом","Вильяме"
"Виля","M","","","","",""
"Виней","M","Винея","Винею","Винея","Винеем","Винее"
"Винен","M","","","","",""
"Винер","M","Винера","Винеру","Винера","Винером","Винере"
"Виннадий","M","","","","",""
"Винсент","M","","","","",""
"Винцас","M","","","","",""
"Винцент","M","Винцента","Винценту","Винцента","Винцентом","Винценте"
"Винцентас","M","","","","",""
"Винцентина","F","Винцентины","Винцентине","Винцентины","Винцентиной","Винцентине"
"Винцо","M","","","","",""
"Винченцо","M","Винченцо","Винченцо","Винченцо","Винченцо","Винченцо"
"Винько","M","","","","",""
"Виола","F","Виолы","Виоле","Виолы","Виолой","Виоле"
"Виолетта","F","Виолетты","Виолетте","Виолетты","Виолеттой","Виолетте"
"Виолина","F","Виолины","Виолине","Виолины","Виолиной","Виолине"
"Виорел","M","Виорела","Виорелу","Виорела","Виорелом","Виореле"
"Виорелий","M","","","","",""
"Виорика","F","Виорики","Виорике","Виорики","Виорикой","Виорике"
"Вирадий","M","","","","",""
"Вирве","F","Вирвы","Вирве","Вирвы","Вирвой","Вирве"
"Виргилиюс","M","Виргилиюса","Виргилиюсу","Виргилиюса","Виргилиюсом","Виргилиюсе"
"Вирджиния","F","Вирджинии","Вирджинии","Вирджинии","Вирджинией","Вирджинии"
"Вислав","M","Вислава","Виславу","Вислава","Виславом","Виславе"
"Вислава","F","Виславы","Виславе","Виславы","Виславой","Виславе"
"Висмира","F","Висмиры","Висмире","Висмиры","Висмирой","Висмире"
"Виссарион","M","Виссариона","Виссариону","Виссариона","Виссарионом","Виссарионе"
"Вита","F","Виты","Вите","Виты","Витой","Вите"
"Виталий","M","Виталия","Виталию","Виталия","Виталием","Виталие"
"Виталина","F","Виталины","Виталини","Виталины","Виталиной","Виталине"
"Виталия","F","Виталии","Виталии","Виталии","Виталией","Виталии"
"Витас","M","Витаса","Витасу","Витаса","Витасом","Витасе"
"Витаут","M","","","","",""
"Витаутас","M","Витаутаса","Витаутасу","Витаутаса","Витаутасом","Витаутасе"
"Витауто","F","Витауто","Витауто","Витауто","Витауто","Витауто"
"Вито","M","Вито","Вито","Вито","Вито","Вито"
"Витовт","M","","","","",""
"Витольд","M","Витольда","Витольду","Витольда","Витольдом","Витольде"
"Витольда","F","Витольды","Витольде","Витольды","Витольдой","Витольде"
"Виулен","M","","","","",""
"Виулений","M","Виуления","Виулению","Виуления","Виулением","Виуленте"
"Виулкан","M","Виулкана","Виулкану","Виулкана","Виулканом","Виулкан"
"Вицент","M","","","","",""
"Вицентий","M","Вицентия","Вицентию","Вицентия","Вицентием","Вицентие"
"Вицентина","F","Вицентины","Вицентине","Вицентины","Вицентиной","Вицентине"
"Вициантин","M","","","","",""
"Вия","F","Вии","Вии","Вии","Вией","Вие"
"Влад","M","Влада","Владу","Влада","Владом","Владе"
"Влада","F","Влады","Владе","Влады","Владой","Владе"
"Владилен","M","","","","",""
"Владилена","F","Владилены","Владилене","Владилены","Владиленой","Владилене"
"Владимир","M","Владимира","Владимиру","Владимира","Владимиром","Владимире"
"Владимира","F","Владимиры","Владимире","Владимиры","Владимирой","Владимире"
"Владислав","M","Владислава","Владиславу","Владислава","Владиславом","Владиславе"
"Владислава","F","Владиславы","Владиславе","Владиславы","Владиславой","Владиславе"
"Владлен","M","Владлена","Владлену","Владлена","Владленом","Владлене"
"Владлена","F","Владлены","Владлене","Владлены","Владленой","Владлене"
"Владликия","F","Владликии","Владликии","Владликии","Владликией","Владликии"
"Влас","M","Власа","Власу","Власа","Власом","Власові"
"Власлав","M","","","","",""
"Власта","F","Власты","Власте","Власты","Властой","Власте"
"Властимила","F","Властимилы","Властимиле","Властимилы","Властимилой","Властимиле"
"Властислав","M","","","","",""
"Возих","M","","","","",""
"Войтек","M","Войтека","Войтеку","Войтека","Войтеком","Войтеку"
"Войтекунас","M","Войтекунаса","Войтекунасу","Войтекунаса","Войтекунасом","Войтекунасі"
"Войтий","M","","","","",""
"Войцех","M","","","","",""
"Волимир","M","","","","",""
"Волин","M","Волина","Волину","Волина","Волином","Волине"
"Волод","M","","","","",""
"Володар","M","","","","",""
"Володяй","M","","","","",""
"Вольдемар","M","Вольдемара","Вольдемару","Вольдемара","Вольдемаром","Вольдемаре"
"Вольф","M","Вольфа","Вольфу","Вольфа","Вольфом","Вольфе"
"Вольфганг","M","","","","",""
"Вольфрам","M","","","","",""
"Воля","M","","","","",""
"Ворошил","M","","","","",""
"Восток","M","","","","",""
"Вреж","M","Врежа","Врежу","Врежа","Врежом","Вреже"
"Всебор","M","Всебора","Всебору","Всебора","Всебором","Всеборе"
"Всеволод","M","Всеволода","Всеволоду","Всеволода","Всеволодом","Всеволоде"
"Вугар","M","Вугара","Вугару","Вугара","Вугаром","Вугаре"
"Вукол","M","","","","",""
"Вуколий","M","Вуколия","Вуколию","Вуколия","Вуколием","Вуколие"
"Вулкан","M","Вулкана","Вулкану","Вулкана","Вулканом","Вулкане"
"Вусав","M","Вусава","Вусаву","Вусава","Вусавом","Вусаве"
"Вячеслав","M","Вячеслава","Вячеславу","Вячеслава","Вячеславом","Вячеславе"
"Вячеслава","F","Вячеславы","Вячеславе","Вячеславы","Вячеславой","Вячеславе"
"Габденур","M","","","","",""
"Габдрахим","M","","","","",""
"Габдрахман","M","","","","",""
"Габдурахман","M","","","","",""
"Габиб","M","","","","",""
"Габибула","M","Габибула","Габибулу","Габибула","Габибулом","Габибуле"
"Габит","M","","","","",""
"Габор","M","Габора","Габору","Габора","Габором","Габоре"
"Габриел","M","","","","",""
"Габриэл","M","Габриэла","Габриэлу","Габриэла","Габриэлом","Габриэле"
"Габриэла","F","Габриэлы","Габриэле","Габриэлы","Габриэлой","Габриэле"
"Габриэль","M","Габриэля","Габриэлю","Габриэля","Габриэлем","Габриэле"
"Гаврил","M","Гаврилы","Гавриле","Гаврилы","Гаврилой","Гавриле"
"Гагик","M","Гагика","Гагику","Гагика","Гагиком","Гагике"
"Гаджа","M","","","","",""
"Гаджибала Оглы","M","","","","",""
"Гаджий","M","Гаджия","Гаджию","Гаджия","Гаджием","Гаджие"
"Гаджимирза","M","","","","",""
"Гадиля","F","Гадилы","Гадиле","Гадилы","Гадилой","Гадиле"
"Гадир","M","","","","",""
"Гаез","M","","","","",""
"Гаель","M","Гаеля","Гаелю","Гаеля","Гаелем","Гаеле"
"Гажарбек","M","","","","",""
"Гази","M","","","","",""
"Газис","M","Газиса","Газису","Газиса","Газисом","Газисе"
"Газихан","M","Газихана","Газихану","Газихана","Газиханом","Газихане"
"Гай","M","","","","",""
"Гайби","M","","","","",""
"Гайк","M","Гайка","Гайку","Гайка","Гайком","Гайке"
"Гайко","M","","","","",""
"Гайро","M","","","","",""
"Гакур","M","","","","",""
"Галактион","M","","","","",""
"Галандр","M","","","","",""
"Галара","F","Галары","Галаре","Галары","Галарой","Галаре"
"Галерко","M","","","","",""
"Гали","M","","","","",""
"Галиахмет","M","","","","",""
"Галид","M","","","","",""
"Галий","M","","","","",""
"Галик","M","","","","",""
"Галимжан","M","","","","",""
"Галимзян","M","","","","",""
"Галимулл","M","","","","",""
"Галина","F","Галины","Галине","Галины","Галиной","Галине"
"Галия","F","Галии","Галии","Галии","Галией","Галие"
"Галла","F","Галлы","Галле","Галлы","Галлей","Галле"
"Галуст","M","","","","",""
"Гамзат","M","","","","",""
"Гамид","M","Гамида","Гамиду","Гамида","Гамидом","Гамиде"
"Гамир","M","","","","",""
"Гамлет","M","Гамлета","Гамлету","Гамлета","Гамлетом","Гамлете"
"Ганеш","F","Ганеш","Ганеш","Ганеш","Ганеш","Ганеш"
"Ганиз","M","Ганиза","Ганизу","Ганиза","Ганизом","Ганизе"
"Гаоюнь","M","Гаоюня","Гаоюню","Гаоюня","Гаоюнем","Гаоюне"
"Гаптуллай","M","","","","",""
"Гарафи","M","","","","",""
"Гарафий","M","Гарафия","Гарафию","Гарафия","Гарафием","Гарафие"
"Гаргония","F","Гаргонии","Гаргонии","Гаргонии","Гаргонией","Гаргонии"
"Гарджи","M","","","","",""
"Гарегин","M","Гарегина","Гарегину","Гарегина","Гарегином","Гарегине"
"Гариб","M","Гариба","Гарибу","Гариба","Гарибом","Гарибе"
"Гарий","M","Гария","Гарию","Гария","Гарием","Гарие"
"Гарик","M","Гарика","Гарику","Гарика","Гариком","Гарике"
"Гарис","M","","","","",""
"Гарник","M","Гарника","Гарнику","Гарника","Гарником","Гарнике"
"Гарняк","M","Гарняка","Гарняку","Гарняка","Гарняком","Гарняке"
"Гарольд","M","Гарольда","Гарольду","Гарольда","Гарольдом","Гарольде"
"Гарри","M","Гаррия","Гаррию","Гаррия","Гаррием","Гаррие"
"Гарриат","M","Гарриата","Гарриату","Гарриата","Гарриатом","Гарриате"
"Гарсия","F","Гарсии","Гарсии","Гарсии","Гарсией","Гарсие"
"Гаруш","M","","","","",""
"Гасан","M","Гасана","Гасану","Гасана","Гасаном","Гасане"
"Гасиф","M","","","","",""
"Гатаул","M","","","","",""
"Гафанбакай","M","Гафанбакая","Гафанбакаю","Гафанбакая","Гафанбакаем","Гафанбакае"
"Гафар","M","Гафара","Гафару","Гафара","Гафаром","Гафаре"
"Гафет","M","","","","",""
"Гафий","M","","","","",""
"Гафия","F","Гафии","Гафии","Гафии","Гафией","Гафие"
"Гафур","M","","","","",""
"Гахраман","M","","","","",""
"Гачик","M","Гачика","Гачику","Гачика","Гачиком","Гачике"
"Гашам","M","","","","",""
"Гаяз","M","","","","",""
"Гаяне","F","Гаяне","Гаяне","Гаяне","Гаяне","Гаяне"
"Гванца","M","Гванца","Гванцу","Гванца","Гванцем","Гванце"
"Гвидон","M","","","","",""
"Гдал","M","","","","",""
"Гдали","M","","","","",""
"Гевор","M","","","","",""
"Геворг","M","Геворга","Геворгу","Геворга","Геворгом","Геворге"
"Гегале","M","Гегале","Гегале","Гегале","Гегале","Гегале"
"Гегам","M","Гегама","Гегаму","Гегама","Гегамом","Гегаме"
"Гегечик","F","Гегечик","Гегечик","Гегечик","Гегечик","Гегечик"
"Гедеван","M","","","","",""
"Гедемин","M","","","","",""
"Гедеон","M","Гедеона","Гедеону","Гедеона","Гедеоном","Гедеоне"
"Гедимин","M","","","","",""
"Гедиминас","M","","","","",""
"Гейбат Оглы","M","","","","",""
"Гейдар","M","Гейдара","Гейдару","Гейдара","Гейдаром","Гейдаре"
"Гейза","M","Гейзы","Гейзе","Гейзы","Гейзой","Гейзе"
"Гейзай","M","","","","",""
"Гейзи","M","","","","",""
"Гейзо","M","","","","",""
"Гейних","M","","","","",""
"Гейсар","M","Гейсара","Гейсару","Гейсара","Гейсаром","Гейсаре"
"Гела","M","Гела","Гелу","Гела","Гелом","Геле"
"Гелен","M","Гелена","Гелену","Гелена","Геленом","Гелене"
"Гелена","F","Гелены","Гелене","Гелены","Геленой","Гелене"
"Гелий","M","Гелия","Гелию","Гелия","Гелием","Гелие"
"Гельмутдин","M","","","","",""
"Гельфия","F","Гельфии","Гельфии","Гельфии","Гельфией","Гельфие"
"Гена","M","","","","",""
"Генефа","F","Генефы","Генефе","Генефы","Генефой","Генефе"
"Гений","M","Гения","Гению","Гения","Гением","Гение"
"Гения","F","Гении","Гении","Гении","Генией","Гении"
"Гениятул","M","","","","",""
"Геннадий","M","Геннадия","Геннадию","Геннадия","Геннадием","Геннадие"
"Генриетта","F","Генриетты","Генриетте","Генриетты","Генриеттой","Генриетте"
"Генрик","M","","","","",""
"Генрих","M","Генриха","Генриху","Генриха","Генрихом","Генрихе"
"Георг","M","Георга","Георгу","Георга","Георгом","Георге"
"Георгий","M","Георгия","Георгию","Георгия","Георгием","Георгие"
"Георгина","F","Георгины","Георгине","Георгины","Георгиной","Георгине"
"Геофил","M","","","","",""
"Гера","F","Геры","Гере","Геры","Герой","Гере"
"Гера","M","","","","",""
"Геральд","M","","","","",""
"Герард","M","Герарда","Герарду","Герарда","Герардом","Герарде"
"Герасим","M","Герасима","Герасиму","Герасима","Герасимом","Герасиме"
"Герберт","M","","","","",""
"Гервасий","M","Гервасия","Гервасию","Гервасия","Гервасием","Гервасие"
"Герд","M","Герда","Герду","Герда","Гердом","Герде"
"Герегин","M","","","","",""
"Геркулес","M","Геркулеса","Геркулесу","Геркулеса","Геркулесом","Геркулесе"
"Герман","M","Германа","Герману","Германа","Германом","Германе"
"Гермине","F","Гермине","Гермине","Гермине","Гермине","Гермине"
"Гермоген","M","Гермогена","Гермогену","Гермогена","Гермогеном","Гермогене"
"Гермон","M","","","","",""
"Герольд","M","","","","",""
"Героний","M","","","","",""
"Героним","M","","","","",""
"Геронт","M","","","","",""
"Геронтий","M","Геронтия","Геронтию","Геронтия","Геронтием","Геронтие"
"Герсан","M","","","","",""
"Гертруд","M","Гертруда","Гертруд","Гертруда","Гертрудом","Гертруде"
"Гертруда","F","Гертруды","Гертруде","Гертруды","Гертрудой","Гертруде"
"Герхард","M","Герхарда","Герхарду","Герхарда","Герхардом","Герхарде"
"Герц","M","","","","",""
"Герш","M","","","","",""
"Герше","M","","","","",""
"Гетия","F","Гетии","Гетии","Гетии","Гетией","Гетие"
"Гетов","M","Гетова","Гетову","Гетова","Гетовом","Гетове"
"Гиаз","M","","","","",""
"Гиви","M","Гиви","Гиви","Гиви","Гиви","Гиви"
"Гигельди","M","Гигельда","Гигельду","Гигельда","Гигельдом","Гигельде"
"Гидаят","M","Гидаята","Гидаяту","Гидаята","Гидаятом","Гидаяте"
"Гиз","M","","","","",""
"Гизатулин","F","Гизатулины","Гизатулине","Гизатулины","Гизатулиной","Гизатулине"
"Гизелла","F","Гизеллы","Гизелле","Гизеллы","Гизеллой","Гизелле"
"Гилани","M","","","","",""
"Гилерий","M","","","","",""
"Гильфан","M","","","","",""
"Гиляр","M","","","","",""
"Гилярий","M","Гилярия","Гилярию","Гилярия","Гилярием","Гилярие"
"Гинят","M","Гинята","Гиняту","Гинята","Гинятом","Гиняте"
"Гисон","M","","","","",""
"Гиуль","M","","","","",""
"Гия","M","Гия","Гию","Гия","Гием","Гие"
"Гияз","M","","","","",""
"Гияс","M","","","","",""
"Глафира","F","Глафиры","Глафире","Глафиры","Глафирой","Глафире"
"Глеб","M","Глеба","Глебу","Глеба","Глебом","Глебе"
"Гликерия","F","Гликерии","Гликерии","Гликерии","Гликерией","Гликерие"
"Глифтерий","M","","","","",""
"Глория","F","Глории","Глории","Глории","Глорией","Глорие"
"Гоар","F","Гоары","Гоаре","Гоары","Гоарой","Гоаре"
"Гоарик","F","Гоарикы","Гоарике","Гоарикы","Гоарикой","Гоарике"
"Гобан","M","Гобана","Гобану","Гобана","Гобаном","Гобане"
"Гога","M","Гога","Гогу","Гога","Гогой","Гоге"
"Гогий","M","","","","",""
"Гогин","M","","","","",""
"Годерзий","M","","","","",""
"Годо","M","","","","",""
"Годольф","M","Годольфа","Годольфу","Годольфа","Годольфом","Годольфе"
"Голоса","F","Голосы","Голосе","Голосы","Голосой","Голосе"
"Гор","M","","","","",""
"Гордана","F","Горданы","Гордане","Горданы","Горданой","Гордане"
"Гордей","M","Гордея","Гордею","Гордея","Гордеем","Гордее"
"Гордон","M","Гордона","Гордону","Гордона","Гордоном","Гордоне"
"Горислав","M","Горислава","Гориславу","Горислава","Гориславом","Гориславе"
"Горпина","F","","","","",""
"Горхмаз","M","Горхмаза","Горхмазу","Горхмаза","Горхмазом","Горхмазе"
"Господин","M","Господина","Господину","Господина","Господином","Господине"
"Готлиб","M","","","","",""
"Готфарт","M","Готфарта","Готфарту","Готфарта","Готфартом","Готфарте"
"Гофиштанд","M","Гофиштанда","Гофиштанду","Гофиштанда","Гофиштандом","Гофиштанде"
"Гоча","M","Гочя","Гочю","Гочя","Гочем","Гоче"
"Гочназар","M","Гочназара","Гочназару","Гочназара","Гочназаром","Гочназаре"
"Гражина","F","Гражины","Гражине","Гражины","Гражиной","Гражине"
"Грайр","M","Грайра","Грайру","Грайра","Грайром","Грайре"
"Грант","M","Гранта","Гранту","Гранта","Грантом","Гранте"
"Грантик","M","","","","",""
"Грациан","M","Грациана","Грациану","Грациана","Грацианом","Грациане"
"Грациян","M","","","","",""
"Грачик","M","Грачика","Грачику","Грачика","Грачиком","Грачике"
"Греана","F","Греаны","Греане","Греаны","Греаной","Греане"
"Грегори","M","Грегори","Грегори","Грегори","Грегорием","Грегори"
"Гремик","M","","","","",""
"Гретта","F","Гретты","Гретте","Гретты","Греттой","Гретте"
"Григорий","M","Григория","Григорию","Григория","Григорием","Григорие"
"Грифон","M","","","","",""
"Губар","M","Губара","Губару","Губара","Губаром","Губаре"
"Губерт","M","","","","",""
"Гугар","M","","","","",""
"Гуген","M","","","","",""
"Гудай","M","","","","",""
"Гуду","M","Гуду","Гуду","Гуду","Гуду","Гуду"
"Гузал","F","Гузалы","Гузале","Гузалы","Гузалой","Гузале"
"Гузелия","F","Гузелии","Гузелии","Гузелии","Гузелией","Гузелии"
"Гукас","M","Гукаса","Гукасу","Гукаса","Гукасом","Гукасе"
"Гуливер","M","","","","",""
"Гулизара","F","Гулизары","Гулизаре","Гулизары","Гулизарой","Гулизаре"
"Гульзар","F","Гульзар","Гульзар","Гульзар","Гульзар","Гульзар"
"Гульмин","M","","","","",""
"Гульмина","F","Гульмины","Гульмине","Гульмины","Гульминой","Гульмине"
"Гульмира","F","Гульмиры","Гульмире","Гульмиры","Гульмирой","Гульмире"
"Гульнак","F","Гульнак","Гульнак","Гульнак","Гульнак","Гульнак"
"Гульсина","F","Гульсины","Гульсине","Гульсины","Гульсиной","Гульсине"
"Гульсум","F","Гульсумы","Гульсуме","Гульсумы","Гульсумой","Гульсуме"
"Гульчачак","F","Гульчачакы","Гульчачаке","Гульчачакы","Гульчачакой","Гульчачаке"
"Гульшен","F","Гульшен","Гульшен","Гульшен","Гульшен","Гульшен"
"Гуля","F","Гули","Гуле","Гули","Гулей","Гуле"
"Гуляра","F","Гуляры","Гуляре","Гуляры","Гулярой","Гуляре"
"Гумар","M","Гумара","Гумару","Гумара","Гумаром","Гумаре"
"Гумас","M","Гумаса","Гумасу","Гумаса","Гумасом","Гумасе"
"Гумер","M","","","","",""
"Гунар","M","","","","",""
"Гуннар","M","","","","",""
"Гупта","M","Гупта","Гупту","Гупта","Гуптом","Гупте"
"Гурам","M","Гурама","Гураму","Гурама","Гурамом","Гураме"
"Гуран","M","Гурана","Гурану","Гурана","Гураном","Гуране"
"Гурбан","M","Гурбана","Гурбану","Гурбана","Гурбаном","Гурбане"
"Гурген","M","Гургена","Гургену","Гургена","Гургеном","Гургене"
"Гурий","M","Гурия","Гурию","Гурия","Гурием","Гурие"
"Гусейн","M","Гусейна","Гусейну","Гусейна","Гусейном","Гусейне"
"Гусман","M","","","","",""
"Густав","M","Густава","Густаву","Густава","Густавом","Густаве"
"Гюзель","F","Гюзель","Гюзель","Гюзель","Гюзель","Гюзель"
"Гюлап","M","Гюлапа","Гюлапу","Гюлапа","Гюлапом","Гюлапе"
"Гюлара","F","Гюлары","Гюларе","Гюлары","Гюларой","Гюларе"
"Гюлахмед Оглы","M","","","","",""
"Гюльнара","F","Гюльнары","Гюльнаре","Гюльнары","Гюльнарой","Гюльнаре"
"Гюльоглан","M","","","","",""
"Гюльсем","F","Гюльсемы","Гюльсеме","Гюльсемы","Гюльсемой","Гюльсеме"
"Гюльчатай","F","Гюльчатай","Гюльчатай","Гюльчатай","Гюльчатай","Гюльчатай"
"Гюлядин","M","Гюлядина","Гюлядину","Гюлядина","Гюлядином","Гюлядине"
"Гюнай","F","Гюнай","Гюнай","Гюнай","Гюнай","Гюнай"
"Гюнер","M","Гюнера","Гюнеру","Гюнера","Гюнером","Гюнере"
"Гюсинэ","F","Гюсинэ","Гюсинэ","Гюсинэ","Гюсинэ","Гюсинэ"
"Давид","M","Давида","Давиду","Давида","Давидом","Давиде"
"Давит","M","Давита","Давиту","Давита","Давитом","Давите"
"Давлет","M","","","","",""
"Давлятяр","M","","","","",""
"Даглас","M","Дагласа","Дагласу","Дагласа","Дагласом","Дагласе"
"Дагмар","M","Дагмара","Дагмару","Дагмара","Дагмаром","Дагмаре"
"Дадаш Оглы","M","","","","",""
"Даина","F","Даины","Даине","Даины","Даиной","Даине"
"Даир","M","","","","",""
"Дайт","M","Дайта","Дайту","Дайта","Дайтом","Дайте"
"Далгат","M","Далгата","Далгату","Далгата","Далгатом","Далгате"
"Далила","F","Далилы","Далиле","Далилы","Далилой","Далиле"
"Дальнот","M","","","","",""
"Дальтоний","M","Дальтония","Дальтонию","Дальтония","Дальтонием","Дальтоние"
"Дальтоно","M","","","","",""
"Даляль","F","Даляль","Даляль","Даляль","Даляль","Даляль"
"Дамиан","M","","","","",""
"Дамир","M","Дамира","Дамиру","Дамира","Дамиром","Дамире"
"Дамира","F","Дамиры","Дамире","Дамиры","Дамирой","Дамире"
"Дан","M","Дана","Дану","Дана","Даном","Дане"
"Дана","F","Даны","Дане","Даны","Даной","Дане"
"Данат","M","Даната","Данату","Даната","Данатом","Данате"
"Даниил","M","Даниила","Даниилу","Даниила","Даниилом","Данииле"
"Данил","M","Данилы","Даниле","Данилы","Данилой","Даниле"
"Данила","M","","","","",""
"Данислава","F","Даниславы","Даниславе","Даниславы","Даниславой","Даниславе"
"Даниэлла","F","Даниэллы","Даниэлле","Даниэллы","Даниэллой","Даниэлле"
"Даниэль","M","Даниэля","Даниэлю","Даниэля","Даниэлем","Даниэле"
"Дания","F","Дании","Дании","Дании","Данией","Дание"
"Даниял","M","","","","",""
"Данко","M","Данко","Данко","Данко","Данко","Данко"
"Данута","F","Дануты","Дануте","Дануты","Данутой","Дануте"
"Дарий","M","Дария","Дарию","Дария","Дарием","Дарие"
"Дарико","F","Дарико","Дарико","Дарико","Дарико","Дарико"
"Дарина","F","Дарины","Дарине","Дарины","Дариной","Дарине"
"Дарко","M","Дарко","Дарко","Дарко","Дарко","Дарко"
"Дарья","F","Дарьи","Дарье","Дарьи","Дарьей","Дарье"
"Дарюс","M","Дарюса","Дарюсу","Дарюса","Дарюсом","Дарюсе"
"Дасий","M","Дасия","Дасию","Дасия","Дасием","Дасие"
"Датик","M","","","","",""
"Дато","M","Дато","Дато","Дато","Дато","Дато"
"Дауд","M","","","","",""
"Даула","M","Даулы","Дауле","Даулы","Даулой","Дауле"
"Даули","M","","","","",""
"Даур","M","","","","",""
"Дверди","M","","","","",""
"Деамид","M","Деамида","Деамиду","Деамида","Деамидом","Деамиде"
"Девзев","M","Девзева","Девзеву","Девзева","Девзевом","Девзеве"
"Девид","M","Девида","Девиду","Девида","Девидом","Девиде"
"Девриш","M","","","","",""
"Дегам","M","","","","",""
"Дезидер","M","","","","",""
"Дезидерий","M","","","","",""
"Дементий","M","Дементия","Дементию","Дементия","Дементием","Дементие"
"Демид","M","Демида","Демиду","Демида","Демидом","Демиде"
"Демур","M","","","","",""
"Демури","M","","","","",""
"Демьян","M","Демьяна","Демьяну","Демьяна","Демьяном","Демьяне"
"Демьяна","F","Демьяны","Демьяне","Демьяны","Демьяной","Демьяне"
"Ден","M","Дена","Дену","Дена","Деном","Дене"
"Денди","F","Дендии","Дендии","Дендии","Дендией","Дендие"
"Дени","M","Дения","Дению","Дения","Дением","Дение"
"Денис","M","Дениса","Денису","Дениса","Денисом","Денисе"
"Деомид","M","","","","",""
"Деонизий","M","Деонизия","Деонизию","Деонизия","Деонизием","Деонизие"
"Деонизия","F","","","","",""
"Дербиш","M","","","","",""
"Дерд","M","","","","",""
"Дердика","F","Дердикы","Дердике","Дердикы","Дердикой","Дердике"
"Дерек","M","Дерека","Дереку","Дерека","Дереком","Дереке"
"Дерзибан","M","","","","",""
"Джабар","M","","","","",""
"Джаббар","M","Джаббара","Джаббару","Джаббара","Джаббаром","Джаббаре"
"Джаби","M","Джабия","Джабию","Джабия","Джабием","Джабие"
"Джабраил","M","Джабраила","Джабраилу","Джабраила","Джабраилом","Джабраиле"
"Джабраиль","M","","","","",""
"Джавад","M","","","","",""
"Джавдет","M","","","","",""
"Джавид","M","Джавида","Джавиду","Джавида","Джавидом","Джавиде"
"Джалил","M","Джалила","Джалилу","Джалила","Джалилом","Джалиле"
"Джалиль","M","","","","",""
"Джамагла","M","","","","",""
"Джамал","M","Джамала","Джамалу","Джамала","Джамалом","Джамале"
"Джамбул","M","Джамбула","Джамбулу","Джамбула","Джамбулом","Джамбуле"
"Джамиль","M","Джамила","Джамилу","Джамила","Джамилом","Джамиле"
"Джамиля","F","Джамилы","Джамиле","Джамилы","Джамилой","Джамиле"
"Джан","M","Джана","Джану","Джана","Джаном","Джане"
"Джанги","M","","","","",""
"Джанибек","M","","","","",""
"Джаниль","M","","","","",""
"Джанна","F","Джанны","Джанне","Джанны","Джанной","Джанне"
"Джаркинбек","M","Джаркинбека","Джаркинбеку","Джаркинбека","Джаркинбеком","Джаркинбеке"
"Джафар","M","Джафара","Джафару","Джафара","Джафаром","Джафаре"
"Джафер","M","","","","",""
"Джебар","M","","","","",""
"Джевдет","M","Джевдета","Джевдету","Джевдета","Джевдетом","Джевдете"
"Джед","M","Джеда","Джеду","Джеда","Джедом","Джеде"
"Джеймс","M","Джеймса","Джеймсу","Джеймса","Джеймсом","Джеймсе"
"Джейсон","M","Джейсона","Джейсону","Джейсона","Джейсоном","Джейсоне"
"Джелял","M","","","","",""
"Джемал","M","Джемала","Джемалу","Джемала","Джемалом","Джемале"
"Джемаль","M","","","","",""
"Джемальдин","M","Джемальдина","Джемальдину","Джемальдина","Джемальдином","Джемальдине"
"Джемиль","M","","","","",""
"Джемма","F","Джеммы","Джемме","Джеммы","Джеммой","Джемме"
"Дженаро","M","Дженаро","Дженаро","Дженаро","Дженаро","Дженаро"
"Дженис","F","Дженис","Дженис","Дженис","Дженис","Дженис"
"Джепар","M","","","","",""
"Джери","M","Джери","Джери","Джери","Джери","Джери"
